aggregation_level,arm,conditional_mean_d,distractor_value,episode_count,fraction_of_checkpoint_i_swap,label,new,old,query,seed,slot,source_state_sha256,step,sum_d,tail_rank,target_slot
ordered_triad,hard-factorized-constant-6400,0.38561600256979744,,16,0.0016802567373670268,,1,10,2,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.169856041116759,13,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.000243905924439,1,1,0.001089399287316975,-1,6,25,19,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.000243905924439,13,1
ordered_triad,hard-factorized-constant-6400,0.3611892315203984,,17,0.0016721850245122144,,10,2,19,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.140216935846773,14,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,3.9851338963517016,1,1,0.00108528432981763,-1,10,2,19,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,3.9851338963517016,14,1
ordered_triad,hard-factorized-constant-6400,0.30685635428863434,,20,0.0016713435557048646,,23,6,18,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.137127085772686,15,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,1.976600932502393,-1,2,0.0010765881770304479,1,16,15,26,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,3.953201865004786,15,0
ordered_triad,hard-factorized-constant-6400,0.2519824806395306,,24,0.0016469567833212219,,4,7,28,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.047579535348735,16,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,1.3118090809185337,1,3,0.0010717475569917766,-1,16,19,3,100,2,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,3.935427242755601,16,1
ordered_triad,hard-factorized-constant-6400,0.25757878880825597,,23,0.0016133869778346044,,10,14,15,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,5.924312142589887,17,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,3.915889576161394,1,1,0.0010664268014168368,-1,11,21,19,100,2,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,3.915889576161394,17,0
ordered_triad,hard-factorized-constant-6400,0.28684597150444463,,20,0.0015623537178014763,,24,28,12,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,5.736919430088893,18,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,3.907876195078316,1,1,0.0010642444915761856,-1,7,19,3,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,3.907876195078316,18,1
ordered_triad,hard-factorized-constant-6400,0.25140445103418424,,22,0.0015062472181622112,,17,18,2,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,5.530897922752054,19,
