arm,cell_id,seed,source_accuracy,source_i_swap_b2048,source_population_risk,source_row_sha256,source_state_relative_path,source_state_sha256,source_walsh_l_w,source_xi_value,step,tier_role
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,103,0.996826171875,0.004701714962720871,0.0053813576769773126,0d4ca1906ff8ce1eaa2f9a846fa0a41fbc5a4f93bd61ccdd93bb3759164cb73c,seeds/hard-rank-matched-constant-6400-e4d3bef28141/seed-103/checkpoint_states/step-6400.pt,2e447f4faa8a1f17048aed708b2616500bd9d910eeeee63376537a7453dfbe16,0.009047585900240778,0.9929686188697815,6400,tier1_rank_matched_conditioning_control
h1-dense-direct-constant-6400,h1-dense-direct-constant-6400-452a4fe7bf0d,104,1.0,2.355295691813808e-06,2.307034177013382e-06,0c1c84f97559b3f58192e3a9b54f93d4a2ef1c2a61f8f41527edb3dcc052b587,seeds/h1-dense-direct-constant-6400-452a4fe7bf0d/seed-104/checkpoint_states/step-6400.pt,fdf1c397c47f2e61d4dfdccc56ced1eec8fa7c2a2f3cdaf160c7954f409acea0,3.1811017872600397e-06,1.0000905990600586,6400,tier2_full_rank_direct_calibration
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,104,1.0,8.155477075888484e-07,1.430194495108568e-06,785c545c11a9a93a3edc17eb9cd8b9ffd62bc2ff43acc90c3c25035373a9e5ab,seeds/h1-factorized-constant-6400-d57899ee3aaf/seed-104/checkpoint_states/step-6400.pt,17710bfdf1d04472e43c0f55127993c0aff00c0c51024b441bf37a17ec1502a4,1.5014415579873291e-06,0.9998522996902466,6400,tier2_full_rank_factorized_calibration
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,104,1.0,1.3146817536835442e-06,1.4933104382496313e-06,27d2672d11997d759fbf45b94bc44a8256826280574436688539098537c0f69f,seeds/hard-dense-direct-constant-6400-a8450bd9ed4e/seed-104/checkpoint_states/step-6400.pt,c650404b2ca564ee55d8abf7e2be589ad169f42b4660c200f6eaae9ffbfd6b00,1.669010545789001e-06,1.0006990432739258,6400,tier1_dense_capacity_upper_bound
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,104,0.990478515625,0.029147010296583176,0.016533570860857136,8b9ac40442cd22683e9ebc77ff11043fd2f4adf607aedb19e93355bd6729ce98,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-104/checkpoint_states/step-800.pt,19aae4d1160dd4914a8bc3f4e805175497b28a15ddaf533e6596a0d29584c82c,0.027590388961272763,0.9696247577667236,800,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,104,0.9976806640625,0.009907035157084465,0.004454398894910252,718e1cacecaf2c5577472103d25dc9ff6b90f97013801e96f5a2289c1030e537,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-104/checkpoint_states/step-1600.pt,dbafff0b5a8cc48c21e558200c50417ab891977731972d1c32fe6c98e1dd87d8,0.007657610842686374,0.9902322888374329,1600,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,104,0.9993896484375,0.004824133589863777,0.0012756514698306818,d2bae8c427acd2f24bbc1a0524f80fcb4cbcec736133ba8de257e5cb8f57da2e,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-104/checkpoint_states/step-3200.pt,a9484425167055046f4bf44b0175811148011ea56753aa8639b7b8905490b672,0.002162032860642117,0.9966216087341309,3200,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,104,0.997802734375,0.013363786973059177,0.0032706243063449045,6c1483d4af1b7110985ba7e2ffe24f3a1ec7169c578df88cea7061e4f21fa1cd,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-104/checkpoint_states/step-6400.pt,41e2a0d50dfe340c1372a5edbefbee0738e9ba635f7a9efa9ce5abf43c156963,0.005829384676401866,0.9971975684165955,6400,tier1_training_limit_baseline
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,104,0.990478515625,0.029147010296583176,0.016533570860857136,527894c287c0adc420ffd80b4ad4725cd732e8dede750bd0f4775772a41c9bed,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-104/checkpoint_states/step-800.pt,19aae4d1160dd4914a8bc3f4e805175497b28a15ddaf533e6596a0d29584c82c,0.027590388961272763,0.9696247577667236,800,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,104,0.9984130859375,0.005242413841187954,0.0030613565878069436,a4d09d885fd54ea0abed97b9841fe14df7456cfadf569f40a23d7cacb6c467fe,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-104/checkpoint_states/step-1600.pt,69a83d7b12bcabc0356be0b4a0631a531d4f771b0fa686c75bd70021a1e9e69b,0.005278574657636968,0.992607593536377,1600,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,104,0.9990234375,0.0011316449381411076,0.001871653212785184,0c586e7d967dc2be7baa131d5a6ef5a06a3b745c906fc6beb592e0f0de83761f,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-104/checkpoint_states/step-3200.pt,985afff8d40fbe7ac89c4b544c7aea08c329aef630de85a34c04c7c74b9b80e8,0.0033786077022810194,0.9957393407821655,3200,tier1_schedule_control
