cell,maximum,mean,metric,minimum,n_seeds,optimizer,standard_deviation,step
C16-d16-L2-H1-m4-ffn32,1.0,0.9998372395833334,function_accuracy,0.998046875,12,adamw,0.0005638186222554939,100
C16-d16-L2-H1-m4-ffn32,0.05061360076069832,0.011594612539435426,natural_swap_mae,0.0029071588069200516,12,adamw,0.012774159245881555,100
C16-d16-L2-H1-m4-ffn32,0.018702026456594467,0.0017674731943770894,natural_swap_mse,2.1616524463752285e-05,12,adamw,0.005336240377110838,100
C16-d16-L2-H1-m4-ffn32,1.2793511152267456,1.0306931932767232,ov_distractor_gain,0.8789725303649902,12,adamw,0.11835065390757425,100
C16-d16-L2-H1-m4-ffn32,1.1802615523338318,0.7799915429204702,ov_log_target_over_distractor_gain,0.4869784861803055,12,adamw,0.2345103692312234,100
C16-d16-L2-H1-m4-ffn32,3.1035159826278687,2.4542136241992316,ov_target_gain,1.7435739040374756,12,adamw,0.3735366878857388,100
C16-d16-L2-H1-m4-ffn32,0.27081191539764404,0.22751070000231266,qk_cancellation_fraction,0.19811493903398514,12,adamw,0.020858514026028726,100
C16-d16-L2-H1-m4-ffn32,0.00017959958267965703,6.259437846267701e-05,qk_content_energy,7.91399685340366e-06,12,adamw,5.532368775261469e-05,100
C16-d16-L2-H1-m4-ffn32,0.00030101167067186907,-8.602934504627531e-05,qk_content_signed,-0.0005467582086566836,12,adamw,0.00024256291570848006,100
C16-d16-L2-H1-m4-ffn32,0.59765625,0.5371907552083334,qk_opposition_rate,0.5,12,adamw,0.032339244110394995,100
C16-d16-L2-H1-m4-ffn32,0.0032809112381073646,0.00029240457797641284,qk_route_signed,-0.0006184322555782273,12,adamw,0.0010089489073180666,100
C16-d16-L2-H1-m4-ffn32,-0.6886677965521812,-1.34732170154651,qk_suppression_log_ratio,-1.8825680017471313,12,adamw,0.3255008938630773,100
C16-d16-L2-H1-m4-ffn32,0.0035819228214677423,0.0002063752144749742,qk_total_signed,-0.0006020370783517137,12,adamw,0.001148008209056487,100
