cell,confidence_interval_excludes_zero,confidence_interval_high,confidence_interval_low,confidence_level,confirmatory_sample_size_pass,desired_direction,direction,eligibility_rule,estimate,final_mean,initial_mean,metric,n_pairs,n_resamples,optimizer,population,rng_seed,standard_deviation,standardized_paired_effect,supports_desired_direction
C16-d16-L2-H1-m4-ffnnone,True,5.077479508817971,3.855753631501769,0.95,True,increase,positive,all_scheduled,4.419500115560368,4.260242201387882,-0.15925791417248547,attention_target_over_distractor_log_margin,12,20000,adamw,all_scheduled,20260815,1.1322127094784533,3.903418570169719,True
C16-d16-L2-H1-m4-ffnnone,True,0.544921875,0.4739542643229167,0.95,True,increase,positive,all_scheduled,0.51025390625,1.0,0.48974609375,donor_accuracy,12,20000,adamw,all_scheduled,20260815,0.0654495602452873,7.796139566678615,True
C16-d16-L2-H1-m4-ffnnone,True,-0.7426670780035092,-1.5161276417281593,0.95,True,decrease,negative,all_scheduled,-1.0653936825641115,7.783746241329936e-05,1.0654715200265248,donor_risk,12,20000,adamw,all_scheduled,20260815,0.7187110877452225,-1.4823671162588008,True
C16-d16-L2-H1-m4-ffnnone,True,0.18700411704679326,0.08155373483896258,0.95,True,descriptive,positive,all_scheduled,0.13442843655745187,0.7537021040916443,0.6192736675341924,embedding_coherence,12,20000,adamw,all_scheduled,20260815,0.09813373349963993,1.3698494061468183,False
C16-d16-L2-H1-m4-ffnnone,True,-1.6677225788434349,-2.1707379976908365,0.95,True,descriptive,negative,all_scheduled,-1.93582022190094,5.821661988894145,7.757482210795085,embedding_effective_rank,12,20000,adamw,all_scheduled,20260815,0.46914089921870006,-4.126308802163326,False
C16-d16-L2-H1-m4-ffnnone,True,0.5397135416666666,0.466796875,0.95,True,increase,positive,all_scheduled,0.5032552083333334,1.0,0.4967447916666667,function_accuracy,12,20000,adamw,all_scheduled,20260815,0.06749572808890165,7.456104594804479,True
C16-d16-L2-H1-m4-ffnnone,True,0.5831722140132721,0.48563692827059035,0.95,True,increase,positive,all_scheduled,0.5318844078380304,0.525562641521295,-0.006321766316735496,key_selectivity,12,20000,adamw,all_scheduled,20260815,0.09039262781298588,5.8841569352143495,True
C16-d16-L2-H1-m4-ffnnone,True,-0.16348932641946398,-0.22346254398823173,0.95,True,decrease,negative,all_scheduled,-0.19149439504447704,0.004305316426325589,0.19579971147080263,natural_swap_mae,12,20000,adamw,all_scheduled,20260815,0.05556385432242744,-3.4463842974835432,True
C16-d16-L2-H1-m4-ffnnone,True,-0.05498155140026978,-0.11982181502144347,0.95,True,decrease,negative,all_scheduled,-0.08415970830181625,6.117358248047822e-05,0.08422088188429673,natural_swap_mse,12,20000,adamw,all_scheduled,20260815,0.059865924389017874,-1.4058032037546715,True
C16-d16-L2-H1-m4-ffnnone,True,0.17649110195537407,0.0654738783215483,0.95,True,decrease,positive,all_scheduled,0.11937449872493744,1.0718709900975227,0.9524964913725853,ov_distractor_gain,12,20000,adamw,all_scheduled,20260815,0.1029521081136031,1.1595148551325725,False
C16-d16-L2-H1-m4-ffnnone,True,1.1773711419155006,0.8126457754449803,0.95,True,increase,positive,all_scheduled,1.0024041148329463,0.9509169471760591,-0.05148716765688732,ov_log_target_over_distractor_gain,12,20000,adamw,all_scheduled,20260815,0.3389346756091112,2.957514196597003,True
C16-d16-L2-H1-m4-ffnnone,True,2.412747224109868,1.702289996109903,0.95,True,increase,positive,all_scheduled,2.07780991991361,2.9701024691263833,0.8922925492127737,ov_target_gain,12,20000,adamw,all_scheduled,20260815,0.6622943741420854,3.1372906082814573,True
C16-d16-L2-H1-m4-ffnnone,True,0.06293943988469738,0.017469307687133555,0.95,True,increase,positive,all_scheduled,0.0396383727590243,0.26954786106944084,0.22990948831041655,qk_cancellation_fraction,12,20000,adamw,all_scheduled,20260815,0.042244610808803484,0.9383060229487056,True
C16-d16-L2-H1-m4-ffnnone,True,-0.022807822334730877,-0.04663381066457634,0.95,True,descriptive,negative,all_scheduled,-0.03374889126510775,3.398475394789102e-05,0.03378287601905564,qk_content_energy,12,20000,adamw,all_scheduled,20260815,0.022020500601965934,-1.5326123540576884,False
C16-d16-L2-H1-m4-ffnnone,False,0.008752771218485098,-0.0056851232750356456,0.95,True,descriptive,positive,all_scheduled,0.001191162005776884,1.7313709804511745e-05,-0.0011738482959723722,qk_content_signed,12,20000,adamw,all_scheduled,20260815,0.01333600672082445,0.0893192415625331,False
C16-d16-L2-H1-m4-ffnnone,True,0.08024088541666667,0.010416666666666666,0.95,True,increase,positive,all_scheduled,0.045817057291666664,0.5584309895833334,0.5126139322916666,qk_opposition_rate,12,20000,adamw,all_scheduled,20260815,0.0647355992826128,0.7077567489820484,True
C16-d16-L2-H1-m4-ffnnone,True,0.0057091620770051985,0.00020229479013475366,0.95,True,descriptive,positive,all_scheduled,0.002898150662834572,-7.033883639451233e-05,-0.0029684894992290842,qk_route_signed,12,20000,adamw,all_scheduled,20260815,0.005085807665545255,0.5698506222460259,False
C16-d16-L2-H1-m4-ffnnone,True,-0.7489029870135712,-1.1570521498137774,0.95,True,increase,negative,all_scheduled,-0.9604896491703888,-1.1532918737114717,-0.19280222454108298,qk_suppression_log_ratio,12,20000,adamw,all_scheduled,20260815,0.3845078409221842,-2.4979715546679073,False
