study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,embedding_effective_rank,normalized_rank,embedding_coherence,function_base_accuracy,function_risk,donor_accuracy,value_flip_effect,natural_swap_mse,full_causal_gate_pass
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,8,800,800,8,8,32,4,1,1,2,4,16,True,0.003,4.952025890350342,0.6190032362937927,0.8475874662399292,1.0,0.00010427497909404337,1.0,0.999204695224762,0.00010757581912912428,True
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,9,800,800,8,8,32,4,1,1,2,4,16,True,0.003,4.073134899139404,0.5091418623924255,0.9313555955886841,1.0,0.0005292173009365797,0.99609375,0.9987344741821289,0.013987015001475811,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,0,800,800,8,8,32,4,4,4,2,4,16,True,0.003,3.8116719722747803,0.47645899653434753,0.9511617422103882,0.9921875,0.011702490970492363,0.99609375,0.9920966625213623,0.012609321624040604,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,1,800,800,8,8,32,4,4,4,2,4,16,True,0.003,3.3529763221740723,0.41912204027175903,0.9653939008712769,1.0,0.000468377023935318,1.0,0.9935816526412964,0.0009195863385684788,True
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,2,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.936591625213623,0.6170739531517029,0.9511029720306396,0.984375,0.03470662981271744,0.98828125,0.9484329223632812,0.07394643872976303,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,3,800,800,8,8,32,4,4,4,2,4,16,True,0.003,3.8228728771209717,0.47785910964012146,0.9781606197357178,1.0,0.004068403970450163,1.0,0.9934895038604736,0.00708065927028656,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,4,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.37171745300293,0.5464646816253662,0.9860127568244934,0.99609375,0.007911966182291508,1.0,0.9839076995849609,0.011015496216714382,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,5,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.343270301818848,0.542908787727356,0.9345569014549255,0.99609375,0.012650744058191776,0.99609375,0.9474872946739197,0.013193752616643906,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,6,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.609637260437012,0.5762046575546265,0.9028862714767456,1.0,0.00141680717933923,0.99609375,0.982601523399353,0.015240678563714027,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,7,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.9654765129089355,0.6206845641136169,0.9086505174636841,1.0,0.0010993863688781857,0.99609375,0.9948328733444214,0.004884259309619665,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,8,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.846479892730713,0.6058099865913391,0.8920960426330566,0.99609375,0.005365986377000809,0.99609375,0.9858304262161255,0.009796429425477982,False
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,7,C32-d8-L2-H4-m4-ffn16,9,800,800,8,8,32,4,4,4,2,4,16,True,0.003,4.354405403137207,0.5443006753921509,0.914535641670227,0.984375,0.029559971764683723,0.984375,0.9389334321022034,0.031032558530569077,False
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,0,800,800,32,32,32,1,1,1,2,4,,False,0.003,12.265911102294922,0.3833097219467163,0.6443307995796204,1.0,2.741917342063971e-05,1.0,0.9992786645889282,1.2089136362192221e-05,True
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,1,800,800,32,32,32,1,1,1,2,4,,False,0.003,11.974327087402344,0.37419772148132324,0.5878797173500061,1.0,5.8006593462778255e-05,1.0,1.001795768737793,4.9646398110780865e-05,True
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,2,800,800,32,32,32,1,1,1,2,4,,False,0.003,12.713693618774414,0.39730292558670044,0.5873293876647949,1.0,4.995695053366944e-05,1.0,1.0020723342895508,2.32786205742741e-05,True
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,3,800,800,32,32,32,1,1,1,2,4,,False,0.003,12.064264297485352,0.37700825929641724,0.6699532866477966,1.0,3.625622048275545e-05,1.0,1.0021107196807861,3.156911043333821e-05,True
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,4,800,800,32,32,32,1,1,1,2,4,,False,0.003,12.193195343017578,0.3810373544692993,0.6746747493743896,1.0,4.776574860443361e-05,1.0,1.0005722045898438,2.2082200302975252e-05,True
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,8,C32-d32-L2-H1-m4-ffnnone,5,800,800,32,32,32,1,1,1,2,4,,False,0.003,12.285188674926758,0.3839121460914612,0.5688886046409607,1.0,7.750926306471229e-05,1.0,1.0024499893188477,5.6857479648897424e-05,True
