revision,revision_index,template_id,template_index,slot,target_effect_when_queried,distractor_effect_when_not_queried,slot_contrast,target_effect_q10,target_effect_q90,distractor_effect_q10,distractor_effect_q90,n_target_episodes,n_distractor_episodes,independent_pretraining_trajectories
step4000,4,line_records,1,3,0.03109364562424798,-0.0004097090086226676,0.03150335463287065,-0.004693454811546871,0.06351088664825262,-0.06279994787854315,0.06680898205837596,48,208,1
step4000,4,prose_facts,2,0,0.13251846226689343,0.0023342655244190254,0.1301841967424744,-0.02340086435588909,0.33389011313849604,-0.31709949182444563,0.37530628865992743,80,176,1
step4000,4,prose_facts,2,1,0.09326453923268711,-0.009590408304682824,0.10285494753736994,-0.015522158232403924,0.1975240129733632,-0.2749758420724133,0.26752189925170533,80,176,1
step4000,4,prose_facts,2,2,0.05145908404483267,-0.0035704638330244795,0.055029547877857146,-0.1180764876828382,0.1977473913352179,-0.1983812432971481,0.1930159025685721,32,224,1
step4000,4,prose_facts,2,3,0.052236768967649304,1.762411620151334e-05,0.05221914485144779,-0.10777830417756269,0.2222751199172555,-0.18508509659073918,0.21146626923059492,64,192,1
step4000,4,bracket_dictionary,3,0,0.16832126722240515,-0.03366110901272061,0.20198237623512577,0.0658079402528375,0.2777284703707674,-0.23480156239308828,0.17056175285073003,64,192,1
step4000,4,bracket_dictionary,3,1,0.12613322712661001,-0.030994450837305246,0.15712767796391525,0.045961614505160495,0.21867708329182386,-0.2129839871080838,0.16017755596057254,16,240,1
step4000,4,bracket_dictionary,3,2,0.23546145031806157,-0.03295211399731447,0.26841356431537605,0.030011452280437882,0.4803526724248304,-0.24478176306729157,0.17836143656759623,48,208,1
step4000,4,bracket_dictionary,3,3,0.18332560348067053,-0.061343308372290295,0.24466891185296083,0.032794016873239615,0.33971076735001104,-0.28368469765912946,0.2080982625259505,128,128,1
step16000,5,compact_cards,0,0,0.18338631821942153,-0.01704671683202438,0.2004330350514459,0.01970604902215411,0.34617971073648096,-0.28551496745332516,0.269576736237897,80,176,1
step16000,5,compact_cards,0,1,0.07858170061096734,-0.01728798193360079,0.09586968254456812,0.024707061699468746,0.17332729659402932,-0.1892494738308812,0.11865119590512145,48,208,1
step16000,5,compact_cards,0,2,0.06575484109243632,-0.011471290844656376,0.0772261319370927,0.01683129059000775,0.11716903514947667,-0.14966064791841394,0.11290998518640667,64,192,1
step16000,5,compact_cards,0,3,0.08393663688457101,-0.012958261078390815,0.09689489796296183,-0.020829340099294717,0.18172964657862062,-0.16262761993834085,0.13273823802206927,64,192,1
step16000,5,line_records,1,0,0.0880509991633206,-0.01621436855435597,0.10426536771767657,-0.02599077647517445,0.19422323162135954,-0.13608085740431103,0.11146049763787819,80,176,1
step16000,5,line_records,1,1,0.11088550869706133,-0.009172888826662421,0.12005839752372376,0.04018461657701152,0.18323025689816833,-0.1416086177390734,0.11678299556657135,64,192,1
step16000,5,line_records,1,2,0.06691685296010555,-0.015552021520809879,0.08246887448091543,-0.007857309116922421,0.15036360501402643,-0.1381735485525713,0.1013406283612159,64,192,1
step16000,5,line_records,1,3,0.07432840506185094,-0.0179168910882279,0.09224529615007884,0.014232416249135143,0.16215924364611053,-0.18085076546732218,0.12273293770664277,48,208,1
step16000,5,prose_facts,2,0,0.07337544237590454,-0.006499999756147304,0.07987544213205185,-0.02454656294252767,0.16394133031149988,-0.17239593206007356,0.16450655614093107,80,176,1
step16000,5,prose_facts,2,1,0.04590613656177463,-0.00720649532525112,0.053112631887025745,-0.01656096418905478,0.10549923305444618,-0.20383420662157103,0.1821349639274868,80,176,1
step16000,5,prose_facts,2,2,0.03124822161971278,-0.0032484334813805958,0.03449665510109338,-0.04772330665491287,0.11966045161350071,-0.1178939926337388,0.10793736408440163,32,224,1
step16000,5,prose_facts,2,3,0.059609129328234756,-0.004578085627642427,0.06418721495587718,-0.024487783919794576,0.14536733313945344,-0.25736462950163597,0.2346803413865229,64,192,1
step16000,5,bracket_dictionary,3,0,0.15386686453701945,0.004415326164500528,0.14945153837251893,-0.032645353017639336,0.4226799522462469,-0.32357485729029495,0.34094971125452955,64,192,1
step16000,5,bracket_dictionary,3,1,0.12611698571280874,-0.012213050048898434,0.1383300357617072,-0.0034234454701114747,0.26681233109800995,-0.16168057575485856,0.14058482526118818,16,240,1
step16000,5,bracket_dictionary,3,2,0.12121813174172218,-0.012789310996795858,0.13400744273851803,-0.0738270764277399,0.3179538447533955,-0.1331207512934029,0.10768452447286757,48,208,1
step16000,5,bracket_dictionary,3,3,0.09020577183575326,-0.05722190680224469,0.14742767863799794,-0.015237157168212697,0.21971050602588557,-0.42842437722584026,0.3415679620562866,128,128,1
