revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step1000,3,line_records,1,2,3.3306690738754696e-16,4.9906719156550424e-15,0.24741981247183545,256,1,0.32287046058517893,0.34789172360169385,0.19697040399283772,0.5015321601960296,0.48392414036143133
step1000,3,line_records,1,3,3.3306690738754696e-16,2.8545385979538016e-15,0.3050059321429922,256,1,0.5015321601960296,0.481367795995389,0.26998601887160384,0.737229342172373,0.7180655180376024
step1000,3,line_records,1,4,3.3306690738754696e-16,2.0499005631516034e-15,0.4621052859227275,256,1,0.737229342172373,0.7346026608498907,0.4213123063560362,1.216159517779492,1.1140415017115988
step1000,3,line_records,1,5,6.106226635438361e-16,3.7107474992755664e-15,0.644851630524039,256,1,1.216159517779492,0.4726969450551421,0.6651822339241629,1.6277116768080866,1.3680352725886835
step1000,3,prose_facts,2,0,1.5916087892087205e-16,1.4073684533920936e-14,0.032252029178512484,256,1,0.0,0.12522076052655595,0.0,0.12522076052655595,0.12522076052655595
step1000,3,prose_facts,2,1,2.7755575615628914e-16,6.713790748790252e-15,0.21653954509736748,256,1,0.12522076052655595,0.29735939783999005,0.1145193768052051,0.34162120253665845,0.32888112136692754
step1000,3,prose_facts,2,2,4.163336342344337e-16,5.0152813297923595e-15,0.3422010514196344,256,1,0.34162120253665845,0.31589868787091036,0.21393832399389143,0.4998803634447611,0.47920601759609854
step1000,3,prose_facts,2,3,3.0531133177191805e-16,3.4544529823681354e-15,0.3567181934237752,256,1,0.4998803634447611,0.48769696394528195,0.26997301074710756,0.7745997032773544,0.7508198509452364
step1000,3,prose_facts,2,4,3.3306690738754696e-16,1.9515761743243082e-15,0.49281030637576795,256,1,0.7745997032773544,0.7043089071764354,0.4572370341934048,1.2028570757019712,1.1078656441695567
step1000,3,prose_facts,2,5,6.106226635438361e-16,3.2954438283121834e-15,0.7066578093876829,256,1,1.2028570757019712,0.5436496866597913,0.6903965182964775,1.6498765399463227,1.3842182647295407
