analysis_schema_version,run_key,run_label,seed,step,group,relative_drift,alignment,effective_rank,frobenius_norm,initial_frobenius_norm,relative_amplitude,parameter_count,active_for_shape_interpretation
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,E,1.2280000448226929,0.09304623305797577,2.2189254760742188,0.23762156069278717,0.29270076751708984,0.8118241804026469,1152,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,QK,1.208688735961914,0.08724702894687653,2.692488431930542,0.11923655867576599,0.15450206398963928,0.771747351438372,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,OV,0.9733463525772095,0.4663473069667816,5.201910495758057,0.042432382702827454,0.7038117051124573,0.060289396147578236,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,FFN,0.9519544243812561,0.7346721887588501,2.9562103748321533,0.024682946503162384,0.3691205084323883,0.06686961558431953,2176,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,readout,0.5287319421768188,0.8493713140487671,2.008234739303589,11.226520538330078,12.745535850524902,0.8808198156586515,33,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,full,0.9041287302970886,0.6224865317344666,2.1572468280792236,0.07503245770931244,0.4419249892234802,0.16978550554734242,5441,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,E,0.9962248802185059,0.7416166067123413,6.208736419677734,0.001492277137003839,0.29270076751708984,0.0050983027808996426,1152,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,QK,0.9965991973876953,0.2478550225496292,2.4357457160949707,0.00217824662104249,0.15450206398963928,0.014098495287341667,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,OV,0.9931454658508301,0.4185694754123688,3.382321357727051,0.0117192966863513,0.7038117051124573,0.01665118184483555,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,FFN,0.9673762321472168,0.644389271736145,2.2424352169036865,0.019154010340571404,0.3691205084323883,0.05189094050047842,2176,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,400,readout,0.7994178533554077,0.6343991756439209,2.063933849334717,10.683196067810059,12.745535850524902,0.8381912061680867,33,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,full,0.0,1.0,3.7764036655426025,0.3699883222579956,0.3699883222579956,1.0,12673,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,E,0.0,1.0000001192092896,3.902632236480713,0.26853930950164795,0.26853930950164795,1.0,4352,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,QK,0.0,0.9999999403953552,5.960639476776123,0.0751694068312645,0.0751694068312645,1.0,4096,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,OV,0.0,1.0,3.3759288787841797,0.6425473690032959,0.6425473690032959,1.0,4096,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,0,readout,0.0,1.0000001192092896,2.5390079021453857,10.597345352172852,10.597345352172852,1.0,65,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,full,0.7610032558441162,0.9504316449165344,1.0641733407974243,0.09466082602739334,0.3699883222579956,0.2558481452865576,12673,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,E,0.9979578852653503,0.9211617112159729,2.4301278591156006,0.0005954445223324001,0.26853930950164795,0.002217345845706608,4352,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,QK,1.0,0.09511388093233109,8.791534722440986e-10,2.4851735253017537e-11,0.0751694068312645,3.3060970281171875e-10,4096,False
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,OV,0.924036979675293,0.9512729644775391,1.1631126403808594,0.05153355747461319,0.6425473690032959,0.08020195858019123,4096,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,100,readout,0.537254273891449,0.9636566638946533,1.040207862854004,15.151932716369629,10.597345352172852,1.4297856880980968,65,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,full,0.801649808883667,0.9499058127403259,1.0326006412506104,0.07832266390323639,0.3699883222579956,0.21168955664665928,12673,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,E,0.9992789626121521,0.9307754635810852,2.5670714378356934,0.0002080455160466954,0.26853930950164795,0.0007747302115015631,4352,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,QK,1.0,0.07234753668308258,3.766514211633876e-09,5.6163424605459866e-11,0.0751694068312645,7.471580124548801e-10,4096,False
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,OV,0.9595483541488647,0.9511240720748901,1.111815333366394,0.027388768270611763,0.6425473690032959,0.04262529051063825,4096,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,highlr_plateau,"High LR plateau: C128, d32, H1",0,400,readout,0.41264471411705017,0.963184654712677,1.02127206325531,13.524697303771973,10.597345352172852,1.276234458188994,65,True
1,tuned,"Tuned: C128, d32, H1",0,0,full,0.0,1.0,3.7764036655426025,0.3699883222579956,0.3699883222579956,1.0,12673,True
1,tuned,"Tuned: C128, d32, H1",0,0,E,0.0,1.0000001192092896,3.902632236480713,0.26853930950164795,0.26853930950164795,1.0,4352,True
1,tuned,"Tuned: C128, d32, H1",0,0,QK,0.0,0.9999999403953552,5.960639476776123,0.0751694068312645,0.0751694068312645,1.0,4096,True
1,tuned,"Tuned: C128, d32, H1",0,0,OV,0.0,1.0,3.3759288787841797,0.6425473690032959,0.6425473690032959,1.0,4096,True
1,tuned,"Tuned: C128, d32, H1",0,0,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,tuned,"Tuned: C128, d32, H1",0,0,readout,0.0,1.0000001192092896,2.5390079021453857,10.597345352172852,10.597345352172852,1.0,65,True
1,tuned,"Tuned: C128, d32, H1",0,100,full,0.8071045279502869,0.7509293556213379,6.7671990394592285,0.1061539500951767,0.3699883222579956,0.2869116231759195,12673,True
1,tuned,"Tuned: C128, d32, H1",0,100,E,0.9310373067855835,0.5039322376251221,8.629338264465332,0.041999701410532,0.26853930950164795,0.15640057125518994,4352,True
