analysis_schema_version,run_key,run_label,seed,step,alpha,beta,probe_loss,is_snapshot_center
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.44999998807907104,3.4908835887908936,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.4000000059604645,2.793717384338379,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.3499999940395355,2.297833204269409,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.30000001192092896,1.9289946556091309,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.25,1.6603087186813354,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.20000000298023224,1.4874329566955566,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.15000000596046448,1.3593271970748901,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.10000000149011612,1.2191110849380493,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.05000000074505806,1.1498115062713623,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.0,1.1718072891235352,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.05000000074505806,1.22463059425354,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.10000000149011612,1.242077112197876,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.15000000596046448,1.2543572187423706,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.20000000298023224,1.3027665615081787,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.25,1.4169116020202637,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.30000001192092896,1.6116182804107666,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.3499999940395355,1.8651247024536133,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.4000000059604645,2.1930294036865234,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.44999998807907104,2.716857433319092,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.5,3.1341710090637207,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.550000011920929,3.3049755096435547,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,0.6000000238418579,3.4533050060272217,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.6000000238418579,7.1138105392456055,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.550000011920929,5.465071678161621,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.5,4.226133346557617,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.44999998807907104,3.288421154022217,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.4000000059604645,2.5839693546295166,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.3499999940395355,2.108591318130493,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.30000001192092896,1.7912158966064453,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.25,1.5916849374771118,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.20000000298023224,1.469862699508667,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.15000000596046448,1.3524913787841797,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.10000000149011612,1.219764232635498,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,-0.05000000074505806,1.149366855621338,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.0,1.16357421875,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.05000000074505806,1.205935001373291,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.10000000149011612,1.2094635963439941,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.15000000596046448,1.2057784795761108,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.20000000298023224,1.2393882274627686,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.25,1.3357137441635132,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.30000001192092896,1.5091463327407837,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.3499999940395355,1.739478349685669,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.4000000059604645,2.0210018157958984,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.44999998807907104,2.3871266841888428,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.5,2.7456369400024414,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.550000011920929,3.087658643722534,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.30000001192092896,0.6000000238418579,3.3568050861358643,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.6000000238418579,7.52556037902832,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.550000011920929,5.639211654663086,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.5,4.183470249176025,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.44999998807907104,3.16666841506958,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.4000000059604645,2.454488754272461,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.3499999940395355,1.9970624446868896,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.30000001192092896,1.7226492166519165,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.25,1.564619541168213,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.20000000298023224,1.4602105617523193,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.15000000596046448,1.3513648509979248,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.10000000149011612,1.2445600032806396,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,-0.05000000074505806,1.1874148845672607,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.0,1.1882436275482178,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.05000000074505806,1.203092336654663,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.10000000149011612,1.1921738386154175,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.15000000596046448,1.182451605796814,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.20000000298023224,1.2078280448913574,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.25,1.2923465967178345,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.30000001192092896,1.4499075412750244,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.3499999940395355,1.670235276222229,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.4000000059604645,1.9465792179107666,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.44999998807907104,2.239835023880005,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.5,2.587075710296631,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.550000011920929,3.0017337799072266,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.25,0.6000000238418579,3.311249256134033,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.6000000238418579,7.936281204223633,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.550000011920929,5.904179573059082,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.5,4.292049884796143,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.44999998807907104,3.1842217445373535,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.4000000059604645,2.4558186531066895,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.3499999940395355,1.9950486421585083,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.30000001192092896,1.7271431684494019,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.25,1.5667030811309814,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.20000000298023224,1.450547695159912,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.15000000596046448,1.3527517318725586,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.10000000149011612,1.2794544696807861,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,-0.05000000074505806,1.2366752624511719,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.0,1.2200961112976074,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.05000000074505806,1.2105058431625366,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.10000000149011612,1.1920900344848633,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.15000000596046448,1.1801204681396484,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.20000000298023224,1.1995270252227783,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.25,1.2754175662994385,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.30000001192092896,1.4215903282165527,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.3499999940395355,1.6403439044952393,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.4000000059604645,1.937532901763916,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.44999998807907104,2.2467832565307617,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.5,2.6151304244995117,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.550000011920929,3.096742630004883,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.20000000298023224,0.6000000238418579,3.3556435108184814,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.6000000238418579,8.35736083984375,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.550000011920929,6.237405776977539,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.5,4.5485734939575195,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.44999998807907104,3.3541440963745117,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.4000000059604645,2.5771005153656006,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.15000000596046448,-0.3499999940395355,2.085085868835449,False
