alpha_training,arm_name,beta_random_orthogonal,fixed_probe_risk,log10_risk_over_center,seed,step
0.3333333333333333,hard-factorized-constant-6400,0.16666666666666666,0.9177204464193903,-0.13709550538852058,100,0
0.3333333333333333,hard-factorized-constant-6400,0.3333333333333333,0.9371388563463711,-0.12800196780375114,100,0
0.3333333333333333,hard-factorized-constant-6400,0.5,0.9506402081163742,-0.12178973390345542,100,0
0.3333333333333333,hard-factorized-constant-6400,0.6666666666666666,0.9605560833966151,-0.11728318627362272,100,0
0.3333333333333333,hard-factorized-constant-6400,0.8333333333333334,0.9503219547347819,-0.12193515046299029,100,0
0.3333333333333333,hard-factorized-constant-6400,1.0,0.9315216746391162,-0.13061294858565642,100,0
0.5,hard-factorized-constant-6400,-1.0,0.7286465317427413,-0.23728901103537078,100,0
0.5,hard-factorized-constant-6400,-0.8333333333333334,0.7159438195595657,-0.24492696873874778,100,0
0.5,hard-factorized-constant-6400,-0.6666666666666666,0.6951954546888068,-0.25769898914059003,100,0
0.5,hard-factorized-constant-6400,-0.5,0.6835115317153139,-0.265060067026111,100,0
0.5,hard-factorized-constant-6400,-0.3333333333333333,0.6913009751882444,-0.26013874357290856,100,0
0.5,hard-factorized-constant-6400,-0.16666666666666666,0.7190548970472719,-0.24304386475138415,100,0
0.5,hard-factorized-constant-6400,0.0,0.7656315732141714,-0.21578607846584988,100,0
0.5,hard-factorized-constant-6400,0.16666666666666666,0.8331808505713523,-0.17906663332157519,100,0
0.5,hard-factorized-constant-6400,0.3333333333333333,0.8922837355128203,-0.1493029363282295,100,0
0.5,hard-factorized-constant-6400,0.5,0.9372453783397325,-0.12795260555121835,100,0
0.5,hard-factorized-constant-6400,0.6666666666666666,0.9699894789859789,-0.11303888938979272,100,0
0.5,hard-factorized-constant-6400,0.8333333333333334,0.9780497057664537,-0.10944498633353354,100,0
0.5,hard-factorized-constant-6400,1.0,0.9683678990544294,-0.11376552874794732,100,0
0.6666666666666666,hard-factorized-constant-6400,-1.0,0.7806109343344084,-0.2073712827690906,100,0
0.6666666666666666,hard-factorized-constant-6400,-0.8333333333333334,0.7774986818162906,-0.20910625170644329,100,0
0.6666666666666666,hard-factorized-constant-6400,-0.6666666666666666,0.7536902273761674,-0.2226130290093178,100,0
0.6666666666666666,hard-factorized-constant-6400,-0.5,0.7388283465303248,-0.2312623634888112,100,0
0.6666666666666666,hard-factorized-constant-6400,-0.3333333333333333,0.7260997499807462,-0.23880962588031784,100,0
0.6666666666666666,hard-factorized-constant-6400,-0.16666666666666666,0.7255630780556648,-0.23913073855437997,100,0
0.6666666666666666,hard-factorized-constant-6400,0.0,0.7690816119229982,-0.2138334852229392,100,0
0.6666666666666666,hard-factorized-constant-6400,0.16666666666666666,0.8206951054176759,-0.1856240697745417,100,0
0.6666666666666666,hard-factorized-constant-6400,0.3333333333333333,0.8640425229814708,-0.16327079672629632,100,0
0.6666666666666666,hard-factorized-constant-6400,0.5,0.9240899637784009,-0.13409165954850658,100,0
0.6666666666666666,hard-factorized-constant-6400,0.6666666666666666,0.9711775474133217,-0.11250727967303208,100,0
0.6666666666666666,hard-factorized-constant-6400,0.8333333333333334,0.9944522958898097,-0.10222195834429654,100,0
0.6666666666666666,hard-factorized-constant-6400,1.0,0.9998095580171098,-0.09988862887494725,100,0
0.8333333333333334,hard-factorized-constant-6400,-1.0,0.863058179294337,-0.1637658403301153,100,0
0.8333333333333334,hard-factorized-constant-6400,-0.8333333333333334,0.8551332504901168,-0.16777211948659318,100,0
0.8333333333333334,hard-factorized-constant-6400,-0.6666666666666666,0.8469003735452565,-0.17197358867374407,100,0
0.8333333333333334,hard-factorized-constant-6400,-0.5,0.8363689598815324,-0.17740800660032108,100,0
0.8333333333333334,hard-factorized-constant-6400,-0.3333333333333333,0.8154304493109259,-0.18841898851517516,100,0
0.8333333333333334,hard-factorized-constant-6400,-0.16666666666666666,0.7998690908032047,-0.19678699834659644,100,0
0.8333333333333334,hard-factorized-constant-6400,0.0,0.8108867788359142,-0.19084569360684983,100,0
0.8333333333333334,hard-factorized-constant-6400,0.16666666666666666,0.8382915352774587,-0.17641083224201579,100,0
0.8333333333333334,hard-factorized-constant-6400,0.3333333333333333,0.8858538604445552,-0.1524438309803668,100,0
0.8333333333333334,hard-factorized-constant-6400,0.5,0.9445800212931337,-0.124567157472539,100,0
0.8333333333333334,hard-factorized-constant-6400,0.6666666666666666,0.9914670958421454,-0.10352760739525964,100,0
0.8333333333333334,hard-factorized-constant-6400,0.8333333333333334,1.0102155560018726,-0.09539186129976295,100,0
0.8333333333333334,hard-factorized-constant-6400,1.0,1.0249351300724738,-0.08910953408786142,100,0
1.0,hard-factorized-constant-6400,-1.0,0.9517066973135704,-0.12130278757357912,100,0
1.0,hard-factorized-constant-6400,-0.8333333333333334,0.9461748890795271,-0.12383449514864994,100,0
1.0,hard-factorized-constant-6400,-0.6666666666666666,0.9536398557006179,-0.12042151974658498,100,0
1.0,hard-factorized-constant-6400,-0.5,0.947844853048659,-0.12306865695955618,100,0
1.0,hard-factorized-constant-6400,-0.3333333333333333,0.9293267606382358,-0.13163746994143827,100,0
1.0,hard-factorized-constant-6400,-0.16666666666666666,0.9029032442802439,-0.14416469957838343,100,0
1.0,hard-factorized-constant-6400,0.0,0.8879818774067876,-0.1514018106312007,100,0
1.0,hard-factorized-constant-6400,0.16666666666666666,0.9211506547355548,-0.13547524797029234,100,0
1.0,hard-factorized-constant-6400,0.3333333333333333,0.9719964928751315,-0.11214121517368518,100,0
1.0,hard-factorized-constant-6400,0.5,1.0022999519532803,-0.09880820355687624,100,0
1.0,hard-factorized-constant-6400,0.6666666666666666,1.039900206990268,-0.0828142484443769,100,0
1.0,hard-factorized-constant-6400,0.8333333333333334,1.051555256875401,-0.07797381427107791,100,0
1.0,hard-factorized-constant-6400,1.0,1.0550043432200327,-0.07655166556420569,100,0
-1.0,hard-factorized-constant-6400,-1.0,0.7849811629622581,1.6776989622208185,100,800
-1.0,hard-factorized-constant-6400,-0.8333333333333334,0.7716610114615279,1.6702662848989904,100,800
-1.0,hard-factorized-constant-6400,-0.6666666666666666,0.7524354225044632,1.6593089597291801,100,800
-1.0,hard-factorized-constant-6400,-0.5,0.7266282731260278,1.6441520192949874,100,800
-1.0,hard-factorized-constant-6400,-0.3333333333333333,0.7040714810727284,1.6304564802900838,100,800
-1.0,hard-factorized-constant-6400,-0.16666666666666666,0.6815609900524398,1.6163444521421413,100,800
-1.0,hard-factorized-constant-6400,0.0,0.6697008555388703,1.6087205807744855,100,800
-1.0,hard-factorized-constant-6400,0.16666666666666666,0.6474735591916614,1.5940617649075244,100,800
-1.0,hard-factorized-constant-6400,0.3333333333333333,0.6234468768952668,1.5776391807474213,100,800
-1.0,hard-factorized-constant-6400,0.5,0.6242391611392616,1.5781907373266006,100,800
-1.0,hard-factorized-constant-6400,0.6666666666666666,0.6385611443876374,1.5880422157842196,100,800
-1.0,hard-factorized-constant-6400,0.8333333333333334,0.6587332960572416,1.6015493426925975,100,800
