arm_name,cell_id,center_fixed_probe_risk,coordinate_count,diagnostic_seed,inference_status,max_per_map_axis_absolute_cosine,max_per_map_axis_relative_norm_gap,maximum_fixed_probe_risk,minimum_fixed_probe_risk,numeric_path,plane_coordinate_system,proxy_prediction_max_abs_gap,rank_constraint_scope,reference_step,seed,step,training_axis_frobenius_norm,training_orientation
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,1.3871768004832927,13,9147528438809831698,descriptive_grid_not_independent_N,3.9311268772932745e-17,1.7938713736060568e-16,2.9448252708924985,0.7235556390349656,numeric/hard-rank-matched-constant-6400/seed-102/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,0,4.846651643134263,-1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.042801598878980704,13,4233919193955351506,descriptive_grid_not_independent_N,5.466307247317027e-17,1.8678783087679688e-16,0.9466674483294941,0.042801598878980704,numeric/hard-rank-matched-constant-6400/seed-102/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,102,800,4.846651643134263,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.006091443504628615,13,9122188424608448825,descriptive_grid_not_independent_N,4.4232105123929484e-17,1.6943417214926873e-16,0.21084144173641406,0.005163376115878929,numeric/hard-rank-matched-constant-6400/seed-102/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,3200,3.1123230094889576,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.0069591295072285175,13,8205403081503932581,descriptive_grid_not_independent_N,2.8399301664994706e-17,1.9158142906788702e-16,0.15721921321939636,0.00017653312268530344,numeric/hard-rank-matched-constant-6400/seed-102/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,102,6400,2.6869337920449228,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,1.2583629375592893,13,1117833747086656456,descriptive_grid_not_independent_N,5.373015350337388e-17,2.1154389566007906e-16,1.930172925287798,0.4439549628716112,numeric/hard-dense-direct-constant-6400/seed-100/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,100,0,4.6931821924561925,-1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,0.0003665968585125095,13,1199522748903044106,descriptive_grid_not_independent_N,2.7605134505193112e-17,2.1154389566007906e-16,0.7578947294885398,0.0003665968585125095,numeric/hard-dense-direct-constant-6400/seed-100/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,0,100,800,4.6931821924561925,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,3.0096947639107624e-05,13,6674715558677475595,descriptive_grid_not_independent_N,3.1635503220243735e-17,2.0478812395795918e-16,0.009189428175310313,3.0096947639107624e-05,numeric/hard-dense-direct-constant-6400/seed-100/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,100,3200,0.8541779686114689,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,4.248390987296398e-06,13,2557674034868851895,descriptive_grid_not_independent_N,2.8802182305974147e-17,1.7400148618875587e-16,0.030631066645910022,4.248390987296398e-06,numeric/hard-dense-direct-constant-6400/seed-100/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,3200,100,6400,1.8150567314525454,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,0.9834493199646854,13,150181944691119253,descriptive_grid_not_independent_N,2.887728716473316e-17,1.9478427897076302e-16,3.2386907358506347,0.3768995866949071,numeric/hard-dense-direct-constant-6400/seed-101/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,101,0,4.805959093212484,-1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,0.0006016714169324165,13,582063492102695303,descriptive_grid_not_independent_N,3.303179847389857e-17,1.5962283856781378e-16,1.1581527225256378,0.0006016714169324165,numeric/hard-dense-direct-constant-6400/seed-101/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,0,101,800,4.805959093212484,1.0
