analysis_status,arm_name,cell_id,coherence,effective_rank,episode_count,feature_dimensionality_sum,global_offdiagonal_token_cosine,gram_offdiag_rms,query_distractor_mean_cosine,query_target_cosine,query_target_minus_distractor_cosine,row_norm_cv,row_norm_mean,seed,site,step,token_covariance_effective_rank,welch_bound
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9198133174315394,4.090730028838456,,4.457863964916508,,0.4650892347959989,,,,0.10330288321704319,1.231354506149522,102,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.017501144213752408,,-0.16424938883402151,0.40691785405092545,0.571167242884947,,,102,input_embeddings,3200,2.5311863159314343,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.11527019444860936,,-0.11879499771690438,0.49695368074424756,0.6157486784611519,,,102,layers.0.post_ffn_residual,3200,1.9000456967058525,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.15851740380038964,,0.010224193854709355,0.8060733436427572,0.7958491497880478,,,102,layers.1.post_ffn_residual,3200,1.1688221567080364,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9212112838964368,4.049777517071971,,4.431633891873248,,0.46645584640683563,,,,0.1067458494773077,1.238601269801711,102,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.01763238409319429,,-0.2013221458467362,0.37272321976363854,0.5740453656103748,,,102,input_embeddings,6400,2.531153102489062,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.13736072048692005,,-0.14648609728780804,0.45081410373303565,0.5973002010208437,,,102,layers.0.post_ffn_residual,6400,1.9272232502563695,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.17079723403240998,,-0.015075643178888064,0.7147358435186938,0.7298114866975819,,,102,layers.1.post_ffn_residual,6400,1.1446878940951872,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.8437610041666778,6.5251817562558685,,6.787612494582763,,0.3548774418101698,,,,1.2912107079770851e-08,0.9999999997122113,100,codebook,0,,0.3110855084191276
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.04836243737978813,,-0.012995937728406171,0.4014431284542506,0.4144390661826568,,,100,input_embeddings,0,2.4186807147199945,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.1977276899971545,,0.2004162543878434,0.4254275747933536,0.22501132040551017,,,100,layers.0.post_ffn_residual,0,2.335399155999857,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.30545587712510125,,0.3213909577109036,0.5358743100999226,0.214483352389019,,,100,layers.1.post_ffn_residual,0,2.313388136440168,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.9892779409894858,3.327743204079488,,3.5134315686476665,,0.5135093833172321,,,,0.12821929909071048,1.2113149199245308,100,codebook,800,,0.3110855084191276
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.06666748213047298,,-0.13832357638155673,0.3190109313440835,0.4573345077256402,,,100,input_embeddings,800,2.2764412363800837,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.06927143927768148,,-0.030650047724887972,0.5054930632887727,0.5361431110136607,,,100,layers.0.post_ffn_residual,800,2.26602866460107,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.2078828960252506,,0.06156532999463117,0.646611215288351,0.5850458852937198,,,100,layers.1.post_ffn_residual,800,1.862855240964266,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.9579767089015978,2.6812248317396206,,2.741462407489469,,0.5787986068010726,,,,0.16774740587267847,1.4439064003291031,100,codebook,3200,,0.3110855084191276
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.14881728291565355,,-0.07231390225185148,0.6195269929427082,0.6918408951945597,,,100,input_embeddings,3200,2.223034100254532,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.04999185929838131,,-0.076654259033098,0.676006215977761,0.752660475010859,,,100,layers.0.post_ffn_residual,3200,2.0377275898102374,
exploratory,hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,,,256,,0.10373535147410201,,-0.025775115612576973,0.8853325918334556,0.9111077074460325,,,100,layers.1.post_ffn_residual,3200,1.1849388834094121,
